Occupation,Monthly Income,Credit Score,Years of Experience,Finance Status,Finance History,Car,Number of Children,Age,Gender,Education Level,Job Title,Salary
Teacher,40000,750,10,Good,No issues,Yes,2,38,Male,PhD,Senior Scientist,110000
Teacher,40000,750,10,Good,No issues,Yes,2,39,Female,Bachelor's,Marketing Specialist,65000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Master's,Digital Marketing Manager,90000
Teacher,40000,750,10,Good,No issues,Yes,2,37,Male,Bachelor's,Project Manager,95000
Teacher,40000,750,10,Good,No issues,Yes,2,34,Female,Master's,Financial Advisor,95000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Master's,Public Relations Manager,90000
Teacher,40000,750,10,Good,No issues,Yes,2,35,Male,Master's,Senior Product Manager,120000
Teacher,40000,750,10,Good,No issues,Yes,2,39,Female,Bachelor's,Administrative Assistant,55000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Accountant,80000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Human Resources Coordinator,80000
Teacher,40000,750,10,Good,No issues,Yes,2,39,Female,Bachelor's,Senior Operations Manager,120000
Teacher,40000,750,10,Good,No issues,Yes,2,39,Male,Bachelor's,Senior Marketing Specialist,120000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Product Manager,120000
Teacher,40000,750,10,Good,No issues,Yes,2,37,Female,Bachelor's,Senior Financial Manager,120000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Business Analyst,110000
Teacher,40000,750,10,Good,No issues,Yes,2,37,Male,Bachelor's,Senior Business Development Manager,120000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Business Analyst,110000
Teacher,40000,750,10,Good,No issues,Yes,2,38,Female,Bachelor's,Senior Business Analyst,110000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Female,Bachelor's,Administrative Assistant,45000
Engineer,60000,800,8,Good,No issues,Yes,1,34,Male,Master's,Business Development Manager,90000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Technical Recruiter,70000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Male,Master's,Product Marketing Manager,95000
Engineer,60000,800,8,Good,No issues,Yes,1,34,Male,Master's,Senior Software Developer,105000
Engineer,60000,800,8,Good,No issues,Yes,1,34,Male,Bachelor's,Senior Business Analyst,90000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Female,Bachelor's,Senior Marketing Specialist,85000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Male,Bachelor's,Senior Operations Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Operations Manager,95000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Marketing Specialist,95000
Engineer,60000,800,8,Good,No issues,Yes,1,37,Male,Bachelor's,Senior Financial Analyst,90000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Product Manager,95000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Business Analyst,95000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Marketing Specialist,95000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Female,Bachelor's,Senior Marketing Manager,95000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Financial Manager,90000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Male,Bachelor's,Senior Business Development Manager,110000
Engineer,60000,800,8,Good,No issues,Yes,1,36,Female,Bachelor's,Senior Marketing Manager,95000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Financial Manager,90000
Engineer,60000,800,8,Good,No issues,Yes,1,35,Female,Bachelor's,Senior Marketing Analyst,85000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,32,Male,Bachelor's,Software Engineer,90000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,34,Female,Master's,Business Analyst,80000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,34,Female,Master's,UX Designer,80000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,32,Male,Bachelor's,Account Manager,75000
Nurse,25000,650,5,Fair,Late payment 2 months ago,No,0,31,Female,Bachelor's,Customer Service Representative,45000
